AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Global Growth,Witan,Ordinary Share,30/06/2010,974406,1070704053,110205570,123212559,110205570,123212559,0,0,0,110205570,419.5,12302775,,,197385220,0,1018050,0,N/A,3,111,108,N,100,960498483,948195708,480.38,,,,,486.61,,,,,473.79,,,,,480.02,,,,,2.73,3,0,36,19,22,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1058401278,,,"1,018,050 shares were bought back at a cost of £4.4 million."
Global Growth,World Trust Fund,Ordinary Share,30/06/2010,981536,108366662,0,0,0,0,0,0,0,0,167.75,570707,,,60217350,0,0,0,N/A,0,100,100,N,100,108366662,107795955,179.01,,,,,179.96,,,,,179.01,,,,,179.96,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,107795955,,,
Global Growth,iimia Investment Trust,Ordinary Share,30/06/2010,3436594,35159601,3000000,3000000,3000000,3000000,0,0,0,3000000,113.75,-32942,,,25279985,0,0,0,No,16,109,92,N,100,32159601,32192543,127.34,,,,,127.21,,,,,127.34,,,,,127.21,,,,,0.97,16,0,26,9,16,11,17,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,35192543,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Global Growth & Income,British Assets,Ordinary Share,30/06/2010,129756,422155611,86823155,90874799,86823155,90874799,0,0,0,86823155,107,4197839,,,291112282,0,0,0,N/A,1,126,125,N,100,335332456,331134617,113.75,,,,,115.19,,,,,112.36,,,,,113.8,,,,,4,1,11,63,4,8,2,8,3,0,0,0,0,0,0,0,0,67,17,14,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,417957772,,"Based on the quoted market prices of the Bond.
Bank loan is short term, fair value is the same as the nominal value.",
Global Growth & Income,Eclectic (AIM),Ordinary Share,30/06/2010,341947,23096337,4805261,4805261,4805261,4805261,0,0,0,4805261,85,356765,,,17619502,0,0,100000,N/A,10,126,114,N,100,18291076,17934311,101.79,,,,101.69,103.81,,,,103.71,101.79,,,,101.69,103.81,,,,103.71,8,10,19,5,1,42,0,22,1,0,0,0,0,0,0,0,0,8,0,-32,0,124,0,7,1,33,0,59,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,22739572,,"The loan facility is valued at current liability value so there is no
difference between par and fair value",
Global Growth & Income,F&C Managed Portfolio Income,Ordinary Share,30/06/2010,B2PP3J3,18371016,0,0,0,0,0,0,0,0,87.5,45000,,,21630192,150000,0,277000,Yes,6,100,94,N,100,18371016,18326016,84.72,,,,84.72,84.93,,,,84.93,84.72,,,,84.72,84.93,,,,84.93,5,6,10,45,10,7,1,17,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,61,10,7,1,17,4,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,18326016,,,"150,000 income shares were sold from treasury on 28 June 2010 at 86.5p per share"
Global Growth & Income,London & St Lawrence,Ordinary Share,30/06/2010,531005,76723048,280000,210000,280000,210000,0,0,0,280000,242,1440966,,,29580694,0,0,0,N/A,1,100,99,N,100,76443048,75002082,253.55,,,,,258.42,,,,,253.79,,,,,258.66,,,,,5.25,1,20,78,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,75282082,,,
Global Growth & Income,Midas Income & Growth,Ordinary Share,30/06/2010,876999,50637680,7000000,7000000,7000000,7000000,0,0,0,7000000,107.5,307345,,,38111950,0,0,0,N/A,0,116,116,N,100,43637680,43330335,113.69,113.03,,,,114.5,113.8,,,,113.69,113.03,,,,114.5,113.8,,,,5.06,0,20,67,4,5,2,2,0,0,0,0,0,0,0,0,0,78,16,6,0,0,0,100,0,0,0,0,0,#,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,50330335,,,
Global Growth & Income,Murray International,Ordinary Share,30/06/2010,611190,952362689,155189460,158500395,155189460,158500395,0,0,0,155189460,825.5,19877126,,,101287232,465000,0,0,N/A,2,119,117,N,100,797173229,777296103,767.42,,,,,787.04,,,,,764.15,,,,,783.77,,,,,4.74,2,10,14,18,8,6,26,16,0,0,0,0,0,0,0,0,35,7,34,0,10,14,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,932485563,,,"09/06/10 - 265,000 SHARES AT 809.00P
17/06/10 - 150,000 SHARES AT 836.00P
23/06/10 - 50,000 SHARES AT 841.00P"
Global Growth & Income,Scottish American,Ordinary Share,30/06/2010,787369,362284380,87668961,97816000,87668961,97816000,0,0,0,87668961,191,3446887,,,132485943,0,0,0,N/A,1,132,131,N,100,274615419,271168532,204.68,,,,,207.28,,,,,197.02,,,,,199.62,,,,,4.8,1,15,39,9,16,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,358837493,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK Equities,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,UK Equities,Inv.Grade. Corp.Bonds,HY Corp. Bonds,Gov. Bonds,Sec.Loans /ABS,Int. Equities,Other ,UK Equities,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK Equities,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Global High Income,HarbourVest Senior Loans Europe,Ordinary Share,30/06/2010,B4N5LG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global High Income,Henderson Diversified Income,Ordinary Share,30/06/2010,B1Y1NS4,73567000,9351178,9351178,9351178,9351178,0,0,0,9351178,70,637000,,,83640877,0,0,0,N/A,4,115,110,N,100,64215822,63578822,76.01,,,,,76.78,,,,,76.01,,,,,76.78,,,,,6.2,4,94,2,0,0,0,0,0,4,2,24,19,51,0,0,0,45,43,12,0,0,0,45,43,12,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,72930000,The portfolio has exposure to credit default swaps totalling £5m,,
Global High Income,INVESCO Leveraged High Yield,Ordinary Share,30/06/2010,B05NYM3,104978387,37963241,37963241,37963241,37963241,0,0,0,37963241,55,2244933,,,111392526,0,0,0,N/A,11,157,139,N,100,67015146,64770213,58.15,,,,,60.16,,,,,58.15,,,,,60.16,,,,,4.13,11,87,1,0,1,0,0,0,11,0,27,62,0,0,0,0,36,44,20,0,0,0,36,44,20,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,102733454,,FV of REPOS not materially different to PAR,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Global Smaller Companies,Marwyn Value Investors,Ordinary Share,30/06/2010,B614XS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Smaller Companies,Marwyn Value Investors B shares,B Share,30/06/2010,B4LJGB6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,Long-Short Credit,Long-Short Equities,Event Driven,Multi- Strategy,Macro ,Systematic Volatility,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Hedge Funds,Absolute Return Trust Euro,Ordinary Share,30/06/2010,B29YCR7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Absolute Return Trust,Ordinary Share,30/06/2010,B05PYY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,AcenciA Debt Strategies,Ordinary Share,30/06/2010,B0Q73G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Alternative Investment Strategies,Ordinary Share,30/06/2010,B06GDT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Global Euro,Ordinary Share,30/06/2010,B2QQPM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Global,Ordinary Share,30/06/2010,B2QQPT9
Hedge Funds,BH Global USD,Ordinary Share,30/06/2010,B2QQPS8
Hedge Funds,BH Macro Euro,Ordinary Share,30/06/2010,B1NPGZ5
Hedge Funds,BH Macro,Ordinary Share,30/06/2010,B1NP514
Hedge Funds,BH Macro USD,Ordinary Share,30/06/2010,B1NPGV1
Hedge Funds,BlackRock Absolute Return Strategies Euro,Ordinary Share,30/06/2010,B2PXNC0
Hedge Funds,BlackRock Absolute Return Strategies,Ordinary Share,30/06/2010,B2PXDB9
Hedge Funds,BlackRock Absolute Return Strategies USD,Ordinary Share,30/06/2010,B2PXNQ4
Hedge Funds,BlackRock Hedge Selector Cash,Ordinary Share,30/06/2010,B40HG88
Hedge Funds,BlackRock Hedge Selector UK Emerging,Ordinary Share,30/06/2010,B42J3Y7
Hedge Funds,BlueCrest AllBlue Euro,Ordinary Share,30/06/2010,B13YXC8
Hedge Funds,BlueCrest AllBlue Euro C shares,Ordinary Share,30/06/2010,B3XGCG5
Hedge Funds,BlueCrest AllBlue,Ordinary Share,30/06/2010,B13YVW4
Hedge Funds,BlueCrest AllBlue C shares,Ordinary Share,30/06/2010,B3Y72K1
Hedge Funds,BlueCrest AllBlue USD,Ordinary Share,30/06/2010,B13YXH3
Hedge Funds,BlueCrest AllBlue USD C shares,Ordinary Share,30/06/2010,B3R7T74
Hedge Funds,Castle Asia Alternative,Redeemable Preference Shr,30/06/2010,B0MSVZ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Cazenove Absolute Equity,Ordinary Share,30/06/2010,B1FQF60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Absolute Euro,Ordinary Share,30/06/2010,B0FXK92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Absolute,Ordinary Share,30/06/2010,3228702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Absolute USD,Ordinary Share,30/06/2010,B0FXL33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Commodities Euro,Ordinary Share,30/06/2010,B0ZQ994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Commodities,Ordinary Share,30/06/2010,B0ZQ8Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Commodities USD,Ordinary Share,30/06/2010,B0ZQBH6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Equity Alternative,Ordinary Share,30/06/2010,3431232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Trading,Ordinary Share,30/06/2010,B037814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,FRM Credit Alpha,Ordinary Share,30/06/2010,B1VR2X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Goldman Sachs Dynamic Opportunities Euro,Ordinary Share,30/06/2010,B173NZ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Goldman Sachs Dynamic Opportunities,Ordinary Share,30/06/2010,B173611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Goldman Sachs Dynamic Opportunities USD,Ordinary Share,30/06/2010,B173P70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Gottex Market Neutral,Ordinary Share,30/06/2010,B1S4QQ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Invesco Perpetual Select Hedge Fund,Ordinary Share,30/06/2010,B1DQ669,15909577,425000,425000,425000,425000,0,0,0,425000,104.5,-88262,,,13796086,0,99000,1199000,No,0,103,103,N,100,15484577,15572839,112.88,,,,112.88,112.24,,,,112.24,112.88,,,,112.88,112.24,,,,112.24,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,15997839,,FV of loan not materially different to PAR,"99,000 ord 1p shars repurchased on 4/6 into Treasury at 106.1p per share"
Hedge Funds,MW TOPS Euro,Ordinary Share,30/06/2010,B39VXT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,MW TOPS,Ordinary Share,30/06/2010,B39VY02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,MW TOPS USD,Ordinary Share,30/06/2010,B39VY13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Signet Global Fixed Income Strategies,Ordinary Share,30/06/2010,B1GJQ98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Cash/Cash Equiv.,Fixed Interest,UK Equities,Japan 1 section,Japan 2 section,Jap OTC/ Region,Other ,TA Yen Exposure,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Japan,Baillie Gifford Japan,Ordinary Share,30/06/2010,48583,149164716,26814734,27257184,26814734,27257184,0,0,0,26814734,164.5,834858,,,61935000,0,0,0,N/A,2,122,119,N,100,122349982,121515124,196.2,,,,,197.55,,,,,195.48,,,,,196.83,,,,,1.7,2,0,0,0,0,98,0,0,2,0,0,90,0,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,148329858,,,
Japan,JPMorgan Japanese,Ordinary Share,30/06/2010,174002,304975249,1192138,1192138,1192138,1192138,0,0,0,1192138,154,2609311,,,161548078,0,0,0,N/A,0,100,100,N,100,303783111,301173800,186.43,,,,,188.05,,,,,186.43,,,,,188.05,,,,,1.68,0,0,0,0,0,100,0,0,0,0,0,85,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,302365938,,,
Japan,Melchior Japan,Ordinary Share,30/06/2010,B104VL6,44677321,2291301,2291301,2291301,2291301,0,0,0,2291301,40.75,-90748,,,87256552,0,0,0,N/A,-4,105,110,Y,100,42386020,42476768,,,,,,48.58,,,,,,,,,,48.58,,,,,,-4,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,44768069,,,
Japan,Morant Wright Japan Income Trust,Ordinary Share,30/06/2010,B0LVM72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Schroder Japan Growth,Ordinary Share,30/06/2010,802284,140567703,22660341,22660341,22660341,22660341,0,0,0,22660341,78.25,429427,,,125008200,0,0,0,N/A,6,119,112,N,100,117907362,117477935,93.98,,,,,94.32,,,,,93.98,,,,,94.32,,,,,1.8,6,0,0,0,0,94,0,0,6,0,0,94,0,0,0,100,-3,0,0,103,0,0,0,0,0,100,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,140138276,,Fair and Par are not materially different,
